MAC;FABRICANTE
BC:6B:4D;Nokia
BC:8D:0E;Nokia
BC:C6:DB;Nokia
C0:38:F9;Nokia
C0:64:C6;Nokia
C4:08:4A;Nokia
C8:3D:97;Nokia
C8:97:9F;Nokia
C8:D1:0B;Nokia
C8:DF:7C;Nokia
CC:89:FD;Nokia
D0:DB:32;Nokia
D4:5D:42;Nokia
D4:93:98;Nokia
D4:C1:FC;Nokia
D4:CB:AF;Nokia
D4:E3:3F;Nokia
D8:2A:7E;Nokia
D8:75:33;Nokia
D8:EF:CD;Nokia
DC:3E:F8;Nokia
DC:9F:A4;Nokia
DC:C7:93;Nokia
DC:F1:10;Nokia
E0:A6:70;Nokia
E4:81:84;Nokia
E4:EC:10;Nokia
E8:15:0E;Nokia
E8:CB:A1;Nokia
